,column,ontologies
701,"Youth Self-Report: III. Please list any organizations, clubs, teams, or groups you belong to. If the answer is C, specify","['http://purl.obolibrary.org/obo/GSSO_001452', 'http://purl.bioontology.org/ontology/SNOMEDCT/22396007', 'http://purl.bioontology.org/ontology/LNC/LA15312-4', 'http://purl.bioontology.org/ontology/LNC/MTHU051529', 'http://purl.bioontology.org/ontology/LNC/LP183761-8', 'http://purl.bioontology.org/ontology/LNC/80563-0', 'http://purl.bioontology.org/ontology/LNC/MTHU002737', 'http://purl.bioontology.org/ontology/LNC/LP7554-1', 'http://purl.bioontology.org/ontology/SNOMEDCT/229059009', 'http://semanticscience.org/resource/SIO_001026', 'http://purl.bioontology.org/ontology/LNC/LA15459-3', 'http://purl.bioontology.org/ontology/SNOMEDCT/257471003', 'http://purl.bioontology.org/ontology/SNOMEDCT/1222801008', 'http://semanticscience.org/resource/SIO_000150', 'http://purl.bioontology.org/ontology/LNC/LP204165-7', 'http://purl.bioontology.org/ontology/SNOMEDCT/261586004']"
702,"Youth Self-Report: Compared to others of your age, about how much time do you spend in each?, if your write A, specify","['http://purl.obolibrary.org/obo/GSSO_001452', 'http://purl.bioontology.org/ontology/SNOMEDCT/22396007', 'http://purl.bioontology.org/ontology/LNC/LA15312-4', 'http://purl.bioontology.org/ontology/LNC/MTHU051529', 'http://purl.bioontology.org/ontology/LNC/LP183761-8', 'http://purl.bioontology.org/ontology/LNC/80563-0', 'http://purl.bioontology.org/ontology/LNC/MTHU002737', 'http://purl.bioontology.org/ontology/LNC/LP7554-1', 'http://purl.bioontology.org/ontology/SNOMEDCT/229059009', 'http://semanticscience.org/resource/SIO_001026', 'http://purl.bioontology.org/ontology/LNC/LA15577-2', 'http://purl.bioontology.org/ontology/LNC/30525-0', 'http://purl.org/sig/ont/fma/fma0328408', 'http://purl.bioontology.org/ontology/SNOMEDCT/424144002', 'http://purl.bioontology.org/ontology/LNC/MTHU010047', 'http://purl.bioontology.org/ontology/LNC/LP28815-6', 'http://purl.bioontology.org/ontology/SNOMEDCT/397669002', 'http://purl.bioontology.org/ontology/LNC/LA15550-9', 'http://purl.bioontology.org/ontology/SNOMEDCT/900000000000475002', 'http://purl.bioontology.org/ontology/LNC/LP436318-2', 'http://purl.bioontology.org/ontology/LNC/MTHU009151', 'http://purl.bioontology.org/ontology/SNOMEDCT/410669006', 'http://purl.bioontology.org/ontology/LNC/LP6879-3', 'http://purl.bioontology.org/ontology/SNOMEDCT/410670007', 'http://purl.bioontology.org/ontology/LNC/LP73517-2']"
703,"Youth Self-Report: Compared to others of your age, about how much time do you spend in each?, if your write B, specify","['http://purl.obolibrary.org/obo/GSSO_001452', 'http://purl.bioontology.org/ontology/SNOMEDCT/22396007', 'http://purl.bioontology.org/ontology/LNC/LA15312-4', 'http://purl.bioontology.org/ontology/LNC/MTHU051529', 'http://purl.bioontology.org/ontology/LNC/LP183761-8', 'http://purl.bioontology.org/ontology/LNC/80563-0', 'http://purl.bioontology.org/ontology/LNC/MTHU002737', 'http://purl.bioontology.org/ontology/LNC/LP7554-1', 'http://purl.bioontology.org/ontology/SNOMEDCT/229059009', 'http://semanticscience.org/resource/SIO_001026', 'http://purl.bioontology.org/ontology/LNC/LA15577-2', 'http://purl.bioontology.org/ontology/LNC/30525-0', 'http://purl.org/sig/ont/fma/fma0328408', 'http://purl.bioontology.org/ontology/SNOMEDCT/424144002', 'http://purl.bioontology.org/ontology/LNC/MTHU010047', 'http://purl.bioontology.org/ontology/LNC/LP28815-6', 'http://purl.bioontology.org/ontology/SNOMEDCT/397669002', 'http://purl.bioontology.org/ontology/LNC/LA15550-9', 'http://purl.bioontology.org/ontology/SNOMEDCT/900000000000475002', 'http://purl.bioontology.org/ontology/LNC/LP436318-2', 'http://purl.bioontology.org/ontology/LNC/MTHU009151', 'http://purl.bioontology.org/ontology/SNOMEDCT/410669006', 'http://purl.bioontology.org/ontology/LNC/LP6879-3', 'http://purl.bioontology.org/ontology/SNOMEDCT/410670007', 'http://purl.bioontology.org/ontology/LNC/LP73517-2']"
704,"Youth Self-Report: Compared to others of your age, about how much time do you spend in each?, if your write C, specify","['http://purl.obolibrary.org/obo/GSSO_001452', 'http://purl.bioontology.org/ontology/SNOMEDCT/22396007', 'http://purl.bioontology.org/ontology/LNC/LA15312-4', 'http://purl.bioontology.org/ontology/LNC/MTHU051529', 'http://purl.bioontology.org/ontology/LNC/LP183761-8', 'http://purl.bioontology.org/ontology/LNC/80563-0', 'http://purl.bioontology.org/ontology/LNC/MTHU002737', 'http://purl.bioontology.org/ontology/LNC/LP7554-1', 'http://purl.bioontology.org/ontology/SNOMEDCT/229059009', 'http://semanticscience.org/resource/SIO_001026', 'http://purl.bioontology.org/ontology/LNC/LA15577-2', 'http://purl.bioontology.org/ontology/LNC/30525-0', 'http://purl.org/sig/ont/fma/fma0328408', 'http://purl.bioontology.org/ontology/SNOMEDCT/424144002', 'http://purl.bioontology.org/ontology/LNC/MTHU010047', 'http://purl.bioontology.org/ontology/LNC/LP28815-6', 'http://purl.bioontology.org/ontology/SNOMEDCT/397669002', 'http://purl.bioontology.org/ontology/LNC/LA15550-9', 'http://purl.bioontology.org/ontology/SNOMEDCT/900000000000475002', 'http://purl.bioontology.org/ontology/LNC/LP436318-2', 'http://purl.bioontology.org/ontology/LNC/MTHU009151', 'http://purl.bioontology.org/ontology/SNOMEDCT/410669006', 'http://purl.bioontology.org/ontology/LNC/LP6879-3', 'http://purl.bioontology.org/ontology/SNOMEDCT/410670007', 'http://purl.bioontology.org/ontology/LNC/LP73517-2']"
705,"Youth Self-Report: IV. Please list any jobs or chores your have. For example: paper route, babysitting, making bed, working in store, etc. (include both paid and unpaid jobs and chores)","['http://purl.obolibrary.org/obo/GSSO_001452', 'http://purl.bioontology.org/ontology/SNOMEDCT/22396007', 'http://purl.bioontology.org/ontology/LNC/LA15312-4', 'http://purl.bioontology.org/ontology/LNC/MTHU051529', 'http://purl.bioontology.org/ontology/LNC/LP183761-8', 'http://purl.bioontology.org/ontology/LNC/80563-0', 'http://purl.bioontology.org/ontology/LNC/MTHU002737', 'http://purl.bioontology.org/ontology/LNC/LP7554-1', 'http://purl.bioontology.org/ontology/SNOMEDCT/229059009', 'http://semanticscience.org/resource/SIO_001026', 'http://semanticscience.org/resource/SIO_000150', 'http://purl.bioontology.org/ontology/LNC/LP204165-7', 'http://purl.bioontology.org/ontology/LNC/LA26662-9', 'http://purl.bioontology.org/ontology/SNOMEDCT/50833004', 'http://purl.bioontology.org/ontology/LNC/LP17550-2', 'http://purl.obolibrary.org/obo/NCIT_C25169', 'http://purl.bioontology.org/ontology/LNC/MTHU008273', 'http://purl.bioontology.org/ontology/LNC/LP35951-0', 'http://purl.obolibrary.org/obo/GSSO_012096', 'http://purl.bioontology.org/ontology/SNOMEDCT/229772003', 'http://purl.bioontology.org/ontology/OMIM/300843', 'http://purl.bioontology.org/ontology/LNC/LA17901-2', 'http://purl.bioontology.org/ontology/SNOMEDCT/261041009', 'http://purl.obolibrary.org/obo/NCIT_C74299', 'http://purl.obolibrary.org/obo/ENVO_00002221', 'http://purl.bioontology.org/ontology/LNC/LA8920-6']"
706,"Youth Self-Report: IV. Please list any jobs or chores your have. For example: paper route, babysitting, making bed, working in store, etc. (include both paid and unpaid jobs and chores). If the answer is A, specify","['http://purl.obolibrary.org/obo/GSSO_001452', 'http://purl.bioontology.org/ontology/SNOMEDCT/22396007', 'http://purl.bioontology.org/ontology/LNC/LA15312-4', 'http://purl.bioontology.org/ontology/LNC/MTHU051529', 'http://purl.bioontology.org/ontology/LNC/LP183761-8', 'http://purl.bioontology.org/ontology/LNC/80563-0', 'http://purl.bioontology.org/ontology/LNC/MTHU002737', 'http://purl.bioontology.org/ontology/LNC/LP7554-1', 'http://purl.bioontology.org/ontology/SNOMEDCT/229059009', 'http://semanticscience.org/resource/SIO_001026', 'http://semanticscience.org/resource/SIO_000150', 'http://purl.bioontology.org/ontology/LNC/LP204165-7', 'http://purl.bioontology.org/ontology/LNC/LA26662-9', 'http://purl.bioontology.org/ontology/SNOMEDCT/50833004', 'http://purl.bioontology.org/ontology/LNC/LP17550-2', 'http://purl.obolibrary.org/obo/NCIT_C25169', 'http://purl.bioontology.org/ontology/LNC/MTHU008273', 'http://purl.bioontology.org/ontology/LNC/LP35951-0', 'http://purl.obolibrary.org/obo/GSSO_012096', 'http://purl.bioontology.org/ontology/SNOMEDCT/229772003', 'http://purl.bioontology.org/ontology/OMIM/300843', 'http://purl.bioontology.org/ontology/LNC/LA17901-2', 'http://purl.bioontology.org/ontology/SNOMEDCT/261041009', 'http://purl.obolibrary.org/obo/NCIT_C74299', 'http://purl.obolibrary.org/obo/ENVO_00002221', 'http://purl.bioontology.org/ontology/LNC/LA8920-6', 'http://purl.bioontology.org/ontology/SNOMEDCT/116680003']"
707,"Youth Self-Report: IV. Please list any jobs or chores your have. For example: paper route, babysitting, making bed, working in store, etc. (include both paid and unpaid jobs and chores). If the answer is B, specify","['http://purl.obolibrary.org/obo/GSSO_001452', 'http://purl.bioontology.org/ontology/SNOMEDCT/22396007', 'http://purl.bioontology.org/ontology/LNC/LA15312-4', 'http://purl.bioontology.org/ontology/LNC/MTHU051529', 'http://purl.bioontology.org/ontology/LNC/LP183761-8', 'http://purl.bioontology.org/ontology/LNC/80563-0', 'http://purl.bioontology.org/ontology/LNC/MTHU002737', 'http://purl.bioontology.org/ontology/LNC/LP7554-1', 'http://purl.bioontology.org/ontology/SNOMEDCT/229059009', 'http://semanticscience.org/resource/SIO_001026', 'http://semanticscience.org/resource/SIO_000150', 'http://purl.bioontology.org/ontology/LNC/LP204165-7', 'http://purl.bioontology.org/ontology/LNC/LA26662-9', 'http://purl.bioontology.org/ontology/SNOMEDCT/50833004', 'http://purl.bioontology.org/ontology/LNC/LP17550-2', 'http://purl.obolibrary.org/obo/NCIT_C25169', 'http://purl.bioontology.org/ontology/LNC/MTHU008273', 'http://purl.bioontology.org/ontology/LNC/LP35951-0', 'http://purl.obolibrary.org/obo/GSSO_012096', 'http://purl.bioontology.org/ontology/SNOMEDCT/229772003', 'http://purl.bioontology.org/ontology/OMIM/300843', 'http://purl.bioontology.org/ontology/LNC/LA17901-2', 'http://purl.bioontology.org/ontology/SNOMEDCT/261041009', 'http://purl.obolibrary.org/obo/NCIT_C74299', 'http://purl.obolibrary.org/obo/ENVO_00002221', 'http://purl.bioontology.org/ontology/LNC/LA8920-6']"
708,"Youth Self-Report: IV. Please list any jobs or chores your have. For example: paper route, babysitting, making bed, working in store, etc. (include both paid and unpaid jobs and chores). If the answer is C, specify","['http://purl.obolibrary.org/obo/GSSO_001452', 'http://purl.bioontology.org/ontology/SNOMEDCT/22396007', 'http://purl.bioontology.org/ontology/LNC/LA15312-4', 'http://purl.bioontology.org/ontology/LNC/MTHU051529', 'http://purl.bioontology.org/ontology/LNC/LP183761-8', 'http://purl.bioontology.org/ontology/LNC/80563-0', 'http://purl.bioontology.org/ontology/LNC/MTHU002737', 'http://purl.bioontology.org/ontology/LNC/LP7554-1', 'http://purl.bioontology.org/ontology/SNOMEDCT/229059009', 'http://semanticscience.org/resource/SIO_001026', 'http://semanticscience.org/resource/SIO_000150', 'http://purl.bioontology.org/ontology/LNC/LP204165-7', 'http://purl.bioontology.org/ontology/LNC/LA26662-9', 'http://purl.bioontology.org/ontology/SNOMEDCT/50833004', 'http://purl.bioontology.org/ontology/LNC/LP17550-2', 'http://purl.obolibrary.org/obo/NCIT_C25169', 'http://purl.bioontology.org/ontology/LNC/MTHU008273', 'http://purl.bioontology.org/ontology/LNC/LP35951-0', 'http://purl.obolibrary.org/obo/GSSO_012096', 'http://purl.bioontology.org/ontology/SNOMEDCT/229772003', 'http://purl.bioontology.org/ontology/OMIM/300843', 'http://purl.bioontology.org/ontology/LNC/LA17901-2', 'http://purl.bioontology.org/ontology/SNOMEDCT/261041009', 'http://purl.obolibrary.org/obo/NCIT_C74299', 'http://purl.obolibrary.org/obo/ENVO_00002221', 'http://purl.bioontology.org/ontology/LNC/LA8920-6']"
709,"Youth Self-Report: Compared to others of your age, about how much time do you spend in each?, If the answer is A, specify","['http://purl.obolibrary.org/obo/GSSO_001452', 'http://purl.bioontology.org/ontology/SNOMEDCT/22396007', 'http://purl.bioontology.org/ontology/LNC/LA15312-4', 'http://purl.bioontology.org/ontology/LNC/MTHU051529', 'http://purl.bioontology.org/ontology/LNC/LP183761-8', 'http://purl.bioontology.org/ontology/LNC/80563-0', 'http://purl.bioontology.org/ontology/LNC/MTHU002737', 'http://purl.bioontology.org/ontology/LNC/LP7554-1', 'http://purl.bioontology.org/ontology/SNOMEDCT/229059009', 'http://semanticscience.org/resource/SIO_001026', 'http://purl.bioontology.org/ontology/LNC/LA15577-2', 'http://purl.bioontology.org/ontology/LNC/30525-0', 'http://purl.org/sig/ont/fma/fma0328408', 'http://purl.bioontology.org/ontology/SNOMEDCT/424144002', 'http://purl.bioontology.org/ontology/LNC/MTHU010047', 'http://purl.bioontology.org/ontology/LNC/LP28815-6', 'http://purl.bioontology.org/ontology/SNOMEDCT/397669002', 'http://purl.bioontology.org/ontology/LNC/LA15550-9', 'http://purl.bioontology.org/ontology/SNOMEDCT/900000000000475002', 'http://purl.bioontology.org/ontology/LNC/LP436318-2', 'http://purl.bioontology.org/ontology/LNC/MTHU009151', 'http://purl.bioontology.org/ontology/SNOMEDCT/410669006', 'http://purl.bioontology.org/ontology/LNC/LP6879-3', 'http://purl.bioontology.org/ontology/SNOMEDCT/410670007', 'http://purl.bioontology.org/ontology/LNC/LP73517-2', 'http://purl.bioontology.org/ontology/SNOMEDCT/116680003']"
710,"Youth Self-Report: Compared to others of your age, about how much time do you spend in each?, If the answer isb B, specify","['http://purl.obolibrary.org/obo/GSSO_001452', 'http://purl.bioontology.org/ontology/SNOMEDCT/22396007', 'http://purl.bioontology.org/ontology/LNC/LA15312-4', 'http://purl.bioontology.org/ontology/LNC/MTHU051529', 'http://purl.bioontology.org/ontology/LNC/LP183761-8', 'http://purl.bioontology.org/ontology/LNC/80563-0', 'http://purl.bioontology.org/ontology/LNC/MTHU002737', 'http://purl.bioontology.org/ontology/LNC/LP7554-1', 'http://purl.bioontology.org/ontology/SNOMEDCT/229059009', 'http://semanticscience.org/resource/SIO_001026', 'http://purl.bioontology.org/ontology/LNC/LA15577-2', 'http://purl.bioontology.org/ontology/LNC/30525-0', 'http://purl.org/sig/ont/fma/fma0328408', 'http://purl.bioontology.org/ontology/SNOMEDCT/424144002', 'http://purl.bioontology.org/ontology/LNC/MTHU010047', 'http://purl.bioontology.org/ontology/LNC/LP28815-6', 'http://purl.bioontology.org/ontology/SNOMEDCT/397669002', 'http://purl.bioontology.org/ontology/LNC/LA15550-9', 'http://purl.bioontology.org/ontology/SNOMEDCT/900000000000475002', 'http://purl.bioontology.org/ontology/LNC/LP436318-2', 'http://purl.bioontology.org/ontology/LNC/MTHU009151', 'http://purl.bioontology.org/ontology/SNOMEDCT/410669006', 'http://purl.bioontology.org/ontology/LNC/LP6879-3', 'http://purl.bioontology.org/ontology/SNOMEDCT/410670007', 'http://purl.bioontology.org/ontology/LNC/LP73517-2']"
711,"Youth Self-Report: Compared to others of your age, about how much time do you spend in each?, If the answer is C, specify","['http://purl.obolibrary.org/obo/GSSO_001452', 'http://purl.bioontology.org/ontology/SNOMEDCT/22396007', 'http://purl.bioontology.org/ontology/LNC/LA15312-4', 'http://purl.bioontology.org/ontology/LNC/MTHU051529', 'http://purl.bioontology.org/ontology/LNC/LP183761-8', 'http://purl.bioontology.org/ontology/LNC/80563-0', 'http://purl.bioontology.org/ontology/LNC/MTHU002737', 'http://purl.bioontology.org/ontology/LNC/LP7554-1', 'http://purl.bioontology.org/ontology/SNOMEDCT/229059009', 'http://semanticscience.org/resource/SIO_001026', 'http://purl.bioontology.org/ontology/LNC/LA15577-2', 'http://purl.bioontology.org/ontology/LNC/30525-0', 'http://purl.org/sig/ont/fma/fma0328408', 'http://purl.bioontology.org/ontology/SNOMEDCT/424144002', 'http://purl.bioontology.org/ontology/LNC/MTHU010047', 'http://purl.bioontology.org/ontology/LNC/LP28815-6', 'http://purl.bioontology.org/ontology/SNOMEDCT/397669002', 'http://purl.bioontology.org/ontology/LNC/LA15550-9', 'http://purl.bioontology.org/ontology/SNOMEDCT/900000000000475002', 'http://purl.bioontology.org/ontology/LNC/LP436318-2', 'http://purl.bioontology.org/ontology/LNC/MTHU009151', 'http://purl.bioontology.org/ontology/SNOMEDCT/410669006', 'http://purl.bioontology.org/ontology/LNC/LP6879-3', 'http://purl.bioontology.org/ontology/SNOMEDCT/410670007', 'http://purl.bioontology.org/ontology/LNC/LP73517-2']"
712,Youth Self-Report: About how many close friends do you have? (Do not include brothers and sisters,"['http://purl.obolibrary.org/obo/GSSO_001452', 'http://purl.bioontology.org/ontology/SNOMEDCT/22396007', 'http://purl.bioontology.org/ontology/LNC/LA15312-4', 'http://purl.bioontology.org/ontology/LNC/MTHU051529', 'http://purl.bioontology.org/ontology/LNC/LP183761-8', 'http://purl.bioontology.org/ontology/LNC/80563-0', 'http://purl.bioontology.org/ontology/LNC/MTHU002737', 'http://purl.bioontology.org/ontology/LNC/LP7554-1', 'http://purl.bioontology.org/ontology/SNOMEDCT/229059009', 'http://semanticscience.org/resource/SIO_001026', 'http://purl.bioontology.org/ontology/LNC/LA16797-5', 'http://purl.bioontology.org/ontology/LNC/LA27352-6', 'http://purl.bioontology.org/ontology/LNC/LA14426-3']"
713,Youth Self-Report: About how many times a week do you do things with friends outside of regular school hours? (Do not include brothers and sisters),"['http://purl.obolibrary.org/obo/GSSO_001452', 'http://purl.bioontology.org/ontology/SNOMEDCT/22396007', 'http://purl.bioontology.org/ontology/LNC/LA15312-4', 'http://purl.bioontology.org/ontology/LNC/MTHU051529', 'http://purl.bioontology.org/ontology/LNC/LP183761-8', 'http://purl.bioontology.org/ontology/LNC/80563-0', 'http://purl.bioontology.org/ontology/LNC/MTHU002737', 'http://purl.bioontology.org/ontology/LNC/LP7554-1', 'http://purl.bioontology.org/ontology/SNOMEDCT/229059009', 'http://semanticscience.org/resource/SIO_001026', 'http://purl.bioontology.org/ontology/SNOMEDCT/417929005', 'http://semanticscience.org/resource/SIO_001354', 'http://purl.bioontology.org/ontology/LNC/LA14216-8', 'http://purl.bioontology.org/ontology/SNOMEDCT/258705008', 'http://purl.bioontology.org/ontology/LNC/LA27352-6', 'http://purl.bioontology.org/ontology/LNC/LA16691-0', 'http://purl.bioontology.org/ontology/SNOMEDCT/261074009', 'http://purl.bioontology.org/ontology/SNOMEDCT/17854005', 'http://purl.bioontology.org/ontology/LNC/LA15487-4', 'http://purl.bioontology.org/ontology/SNOMEDCT/257698009', 'http://purl.bioontology.org/ontology/LNC/LP125133-1', 'http://purl.bioontology.org/ontology/LNC/LA14086-5', 'http://purl.bioontology.org/ontology/LNC/MTHU040370', 'http://purl.bioontology.org/ontology/SNOMEDCT/258702006', 'http://purl.bioontology.org/ontology/LNC/LA14426-3']"
714,"Youth Self-Report: Compared to others of your age, how well do you: Get along with your brothers and
sisters?","['http://purl.obolibrary.org/obo/GSSO_001452', 'http://purl.bioontology.org/ontology/SNOMEDCT/22396007', 'http://purl.bioontology.org/ontology/LNC/LA15312-4', 'http://purl.bioontology.org/ontology/LNC/MTHU051529', 'http://purl.bioontology.org/ontology/LNC/LP183761-8', 'http://purl.bioontology.org/ontology/LNC/80563-0', 'http://purl.bioontology.org/ontology/LNC/MTHU002737', 'http://purl.bioontology.org/ontology/LNC/LP7554-1', 'http://purl.bioontology.org/ontology/SNOMEDCT/229059009', 'http://semanticscience.org/resource/SIO_001026', 'http://purl.bioontology.org/ontology/LNC/LA15577-2', 'http://purl.bioontology.org/ontology/LNC/30525-0', 'http://purl.org/sig/ont/fma/fma0328408', 'http://purl.bioontology.org/ontology/SNOMEDCT/424144002', 'http://purl.bioontology.org/ontology/LNC/MTHU010047', 'http://purl.bioontology.org/ontology/LNC/LP28815-6', 'http://purl.bioontology.org/ontology/SNOMEDCT/397669002']"
715,Youth Self-Report: I have no brothers or sisters,"['http://purl.obolibrary.org/obo/GSSO_001452', 'http://purl.bioontology.org/ontology/SNOMEDCT/22396007', 'http://purl.bioontology.org/ontology/LNC/LA15312-4', 'http://purl.bioontology.org/ontology/LNC/MTHU051529', 'http://purl.bioontology.org/ontology/LNC/LP183761-8', 'http://purl.bioontology.org/ontology/LNC/80563-0', 'http://purl.bioontology.org/ontology/LNC/MTHU002737', 'http://purl.bioontology.org/ontology/LNC/LP7554-1', 'http://purl.bioontology.org/ontology/SNOMEDCT/229059009', 'http://semanticscience.org/resource/SIO_001026']"
716,"Youth Self-Report: Compared to others of your age, how well do you child: Get along with other kids?","['http://purl.obolibrary.org/obo/GSSO_001452', 'http://purl.bioontology.org/ontology/SNOMEDCT/22396007', 'http://purl.bioontology.org/ontology/LNC/LA15312-4', 'http://purl.bioontology.org/ontology/LNC/MTHU051529', 'http://purl.bioontology.org/ontology/LNC/LP183761-8', 'http://purl.bioontology.org/ontology/LNC/80563-0', 'http://purl.bioontology.org/ontology/LNC/MTHU002737', 'http://purl.bioontology.org/ontology/LNC/LP7554-1', 'http://purl.bioontology.org/ontology/SNOMEDCT/229059009', 'http://semanticscience.org/resource/SIO_001026', 'http://purl.bioontology.org/ontology/LNC/LA15577-2', 'http://purl.bioontology.org/ontology/LNC/30525-0', 'http://purl.org/sig/ont/fma/fma0328408', 'http://purl.bioontology.org/ontology/SNOMEDCT/424144002', 'http://purl.bioontology.org/ontology/LNC/MTHU010047', 'http://purl.bioontology.org/ontology/LNC/LP28815-6', 'http://purl.bioontology.org/ontology/SNOMEDCT/397669002', 'http://purl.obolibrary.org/obo/NCIT_C16423', 'http://purl.bioontology.org/ontology/SNOMEDCT/67822003', 'http://purl.bioontology.org/ontology/LNC/LA9949-4']"
717,"Youth Self-Report: Compared to others of your age, how well do you: Behave with your parents?
","['http://purl.obolibrary.org/obo/GSSO_001452', 'http://purl.bioontology.org/ontology/SNOMEDCT/22396007', 'http://purl.bioontology.org/ontology/LNC/LA15312-4', 'http://purl.bioontology.org/ontology/LNC/MTHU051529', 'http://purl.bioontology.org/ontology/LNC/LP183761-8', 'http://purl.bioontology.org/ontology/LNC/80563-0', 'http://purl.bioontology.org/ontology/LNC/MTHU002737', 'http://purl.bioontology.org/ontology/LNC/LP7554-1', 'http://purl.bioontology.org/ontology/SNOMEDCT/229059009', 'http://semanticscience.org/resource/SIO_001026', 'http://purl.bioontology.org/ontology/LNC/LA15577-2', 'http://purl.bioontology.org/ontology/LNC/30525-0', 'http://purl.org/sig/ont/fma/fma0328408', 'http://purl.bioontology.org/ontology/SNOMEDCT/424144002', 'http://purl.bioontology.org/ontology/LNC/MTHU010047', 'http://purl.bioontology.org/ontology/LNC/LP28815-6', 'http://purl.bioontology.org/ontology/SNOMEDCT/397669002', 'http://purl.bioontology.org/ontology/LNC/LA32051-7']"
718,"Youth Self-Report: Compared to others of your age, how well do you: Do things by yourself?","['http://purl.obolibrary.org/obo/GSSO_001452', 'http://purl.bioontology.org/ontology/SNOMEDCT/22396007', 'http://purl.bioontology.org/ontology/LNC/LA15312-4', 'http://purl.bioontology.org/ontology/LNC/MTHU051529', 'http://purl.bioontology.org/ontology/LNC/LP183761-8', 'http://purl.bioontology.org/ontology/LNC/80563-0', 'http://purl.bioontology.org/ontology/LNC/MTHU002737', 'http://purl.bioontology.org/ontology/LNC/LP7554-1', 'http://purl.bioontology.org/ontology/SNOMEDCT/229059009', 'http://semanticscience.org/resource/SIO_001026', 'http://purl.bioontology.org/ontology/LNC/LA15577-2', 'http://purl.bioontology.org/ontology/LNC/30525-0', 'http://purl.org/sig/ont/fma/fma0328408', 'http://purl.bioontology.org/ontology/SNOMEDCT/424144002', 'http://purl.bioontology.org/ontology/LNC/MTHU010047', 'http://purl.bioontology.org/ontology/LNC/LP28815-6', 'http://purl.bioontology.org/ontology/SNOMEDCT/397669002']"
719,Youth Self-Report:Not attending school,"['http://purl.obolibrary.org/obo/GSSO_001452', 'http://purl.bioontology.org/ontology/SNOMEDCT/22396007', 'http://purl.bioontology.org/ontology/LNC/LA15312-4', 'http://purl.bioontology.org/ontology/LNC/MTHU051529', 'http://purl.bioontology.org/ontology/LNC/LP183761-8', 'http://purl.bioontology.org/ontology/LNC/80563-0', 'http://purl.bioontology.org/ontology/LNC/MTHU002737', 'http://purl.bioontology.org/ontology/LNC/LP7554-1', 'http://purl.bioontology.org/ontology/SNOMEDCT/229059009', 'http://semanticscience.org/resource/SIO_001026', 'http://purl.bioontology.org/ontology/SNOMEDCT/224305003', 'http://purl.bioontology.org/ontology/LNC/LP269960-3', 'http://purl.bioontology.org/ontology/SNOMEDCT/257698009', 'http://purl.bioontology.org/ontology/LNC/LP125133-1', 'http://purl.bioontology.org/ontology/LNC/LA14086-5', 'http://purl.bioontology.org/ontology/LNC/MTHU040370']"
720,Youth Self-Report: I do not attend school because,"['http://purl.obolibrary.org/obo/GSSO_001452', 'http://purl.bioontology.org/ontology/SNOMEDCT/22396007', 'http://purl.bioontology.org/ontology/LNC/LA15312-4', 'http://purl.bioontology.org/ontology/LNC/MTHU051529', 'http://purl.bioontology.org/ontology/LNC/LP183761-8', 'http://purl.bioontology.org/ontology/LNC/80563-0', 'http://purl.bioontology.org/ontology/LNC/MTHU002737', 'http://purl.bioontology.org/ontology/LNC/LP7554-1', 'http://purl.bioontology.org/ontology/SNOMEDCT/229059009', 'http://semanticscience.org/resource/SIO_001026', 'http://purl.bioontology.org/ontology/LNC/LA14426-3', 'http://purl.bioontology.org/ontology/SNOMEDCT/257698009', 'http://purl.bioontology.org/ontology/LNC/LP125133-1', 'http://purl.bioontology.org/ontology/LNC/LA14086-5', 'http://purl.bioontology.org/ontology/LNC/MTHU040370']"
721,"Youth Self-Report: Performance in academic subjects: Reading, English, or language arts","['http://purl.obolibrary.org/obo/GSSO_001452', 'http://purl.bioontology.org/ontology/SNOMEDCT/22396007', 'http://purl.bioontology.org/ontology/LNC/LA15312-4', 'http://purl.bioontology.org/ontology/LNC/MTHU051529', 'http://purl.bioontology.org/ontology/LNC/LP183761-8', 'http://purl.bioontology.org/ontology/LNC/80563-0', 'http://purl.bioontology.org/ontology/LNC/MTHU002737', 'http://purl.bioontology.org/ontology/LNC/LP7554-1', 'http://purl.bioontology.org/ontology/SNOMEDCT/229059009', 'http://semanticscience.org/resource/SIO_001026', 'http://purl.obolibrary.org/obo/NCIT_C60778', 'http://semanticscience.org/resource/SIO_000406', 'http://purl.bioontology.org/ontology/LNC/LP217219-7', 'http://purl.bioontology.org/ontology/LNC/MTHU053650', 'http://purl.bioontology.org/ontology/SNOMEDCT/50360004', 'http://purl.bioontology.org/ontology/LNC/106395-7', 'http://purl.bioontology.org/ontology/LNC/LA17911-1', 'http://purl.bioontology.org/ontology/LNC/LA43-5', 'http://purl.obolibrary.org/obo/GSSO_002755', 'http://purl.bioontology.org/ontology/SNOMEDCT/25804004', 'http://purl.bioontology.org/ontology/SNOMEDCT/900000000000507009', 'http://purl.bioontology.org/ontology/LNC/54505-3', 'http://purl.bioontology.org/ontology/LNC/MTHU021113', 'http://purl.bioontology.org/ontology/LNC/LP75013-0', 'http://purl.bioontology.org/ontology/STY/T171', 'http://purl.bioontology.org/ontology/STY/T171', 'http://purl.bioontology.org/ontology/STY/T171', 'http://purl.bioontology.org/ontology/MESH/D007802', 'http://purl.bioontology.org/ontology/LNC/LA17309-8', 'http://purl.bioontology.org/ontology/SNOMEDCT/61909002', 'http://purl.bioontology.org/ontology/OMIM/603696', 'http://www.orpha.net/ORDO/Orphanet_615260', 'http://purl.bioontology.org/ontology/OMIM/301835']"
