,column,ontologies
20,Socioeconomic level (by profession),"['http://purl.bioontology.org/ontology/SNOMEDCT/276625007', 'http://purl.bioontology.org/ontology/SNOMEDCT/14679004']"
21,Happines with current life situation,"['http://purl.bioontology.org/ontology/SNOMEDCT/15240007', 'http://purl.bioontology.org/ontology/LNC/LA34190-1', 'http://purl.obolibrary.org/obo/GSSO_010202']"
22,Weeks of pregnancy at birth,"['http://purl.bioontology.org/ontology/LNC/LA9000-6', 'http://purl.bioontology.org/ontology/SNOMEDCT/258705008', 'http://purl.bioontology.org/ontology/LNC/MTHU042911', 'http://purl.bioontology.org/ontology/LNC/LP100811-1', 'http://purl.bioontology.org/ontology/LNC/MTHU035048', 'http://purl.bioontology.org/ontology/LNC/LP133213-1', 'http://purl.bioontology.org/ontology/SNOMEDCT/289908002', 'http://purl.bioontology.org/ontology/SNOMEDCT/77386006', 'http://purl.bioontology.org/ontology/LNC/LA6530-5', 'http://purl.bioontology.org/ontology/LNC/LP207970-7', 'http://purl.bioontology.org/ontology/LNC/LP71937-4', 'http://purl.bioontology.org/ontology/SNOMEDCT/255399007', 'http://purl.bioontology.org/ontology/SNOMEDCT/3950001', 'http://purl.obolibrary.org/obo/GO_0007567']"
23,Weight at birth,"['http://purl.bioontology.org/ontology/LNC/MTHU021563', 'http://purl.bioontology.org/ontology/LNC/29463-7', 'http://purl.bioontology.org/ontology/LNC/LP18015-5', 'http://purl.bioontology.org/ontology/OMIM/MTHU073617', 'http://purl.bioontology.org/ontology/LNC/LP221195-3', 'http://purl.bioontology.org/ontology/SNOMEDCT/726527001', 'http://purl.bioontology.org/ontology/LNC/LP97908-5', 'http://purl.bioontology.org/ontology/OMIM/MTHU000050', 'http://purl.bioontology.org/ontology/LNC/LP71937-4', 'http://purl.bioontology.org/ontology/SNOMEDCT/255399007', 'http://purl.bioontology.org/ontology/SNOMEDCT/3950001', 'http://purl.obolibrary.org/obo/GO_0007567']"
24,APGAR Test,"['http://purl.bioontology.org/ontology/LNC/LP32192-4', 'http://purl.obolibrary.org/obo/NCIT_C47891', 'http://purl.bioontology.org/ontology/LNC/LA7556-9']"
25,Pregnancy problems,"['http://purl.bioontology.org/ontology/LNC/MTHU042911', 'http://purl.bioontology.org/ontology/LNC/LP100811-1', 'http://purl.bioontology.org/ontology/LNC/MTHU035048', 'http://purl.bioontology.org/ontology/LNC/LP133213-1', 'http://purl.bioontology.org/ontology/SNOMEDCT/289908002', 'http://purl.bioontology.org/ontology/SNOMEDCT/77386006', 'http://purl.bioontology.org/ontology/LNC/LA6530-5', 'http://purl.bioontology.org/ontology/LNC/LP207970-7']"
26,"Pregnancy problems, if yes: Specify","['http://purl.bioontology.org/ontology/LNC/MTHU042911', 'http://purl.bioontology.org/ontology/LNC/LP100811-1', 'http://purl.bioontology.org/ontology/LNC/MTHU035048', 'http://purl.bioontology.org/ontology/LNC/LP133213-1', 'http://purl.bioontology.org/ontology/SNOMEDCT/289908002', 'http://purl.bioontology.org/ontology/SNOMEDCT/77386006', 'http://purl.bioontology.org/ontology/LNC/LA6530-5', 'http://purl.bioontology.org/ontology/LNC/LP207970-7', 'http://purl.bioontology.org/ontology/LNC/LA33-6', 'http://purl.bioontology.org/ontology/SNOMEDCT/373066001']"
27,Delivery problems,"['http://purl.bioontology.org/ontology/SNOMEDCT/386216000', 'http://purl.bioontology.org/ontology/OMIM/MTHU000026', 'http://purl.bioontology.org/ontology/LNC/LA7555-1']"
28,"Delviery problems, if yes: Specify","['http://purl.bioontology.org/ontology/LNC/LA33-6', 'http://purl.bioontology.org/ontology/SNOMEDCT/373066001']"
29,Baby problems at birth,"['http://purl.bioontology.org/ontology/SNOMEDCT/133931009', 'http://purl.bioontology.org/ontology/LNC/LP71937-4', 'http://purl.bioontology.org/ontology/SNOMEDCT/255399007', 'http://purl.bioontology.org/ontology/SNOMEDCT/3950001', 'http://purl.obolibrary.org/obo/GO_0007567']"
30,"Baby problems at birth, if yes: Specify","['http://purl.bioontology.org/ontology/SNOMEDCT/133931009', 'http://purl.bioontology.org/ontology/LNC/LP71937-4', 'http://purl.bioontology.org/ontology/SNOMEDCT/255399007', 'http://purl.bioontology.org/ontology/SNOMEDCT/3950001', 'http://purl.obolibrary.org/obo/GO_0007567', 'http://purl.bioontology.org/ontology/LNC/LA33-6', 'http://purl.bioontology.org/ontology/SNOMEDCT/373066001']"
31,Require intensive care,"['http://purl.obolibrary.org/obo/NCIT_C61488', 'http://purl.bioontology.org/ontology/LNC/LP68340-6']"
32,Weeks in intensive care,"['http://purl.bioontology.org/ontology/LNC/LA9000-6', 'http://purl.bioontology.org/ontology/SNOMEDCT/258705008', 'http://purl.obolibrary.org/obo/NCIT_C61488', 'http://purl.bioontology.org/ontology/LNC/LP68340-6']"
